,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
16490,6.0,-5.0,-500.051,0.1476,0.0001764,7.772e-05,0.01221,0.0,-1.0,0.000489,20.0,15.700000000000001
16595,6.0,-5.0,-500.009,0.1476,0.0001765,7.773e-05,0.01222,0.0,-1.0,0.00049,20.0,15.8
16700,6.0,-5.0,-499.965,0.1476,0.0001765,7.774e-05,0.01222,0.0,-1.0,0.00049,20.0,15.9
16805,6.0,-5.0,-499.92,0.1476,0.0001765,7.775e-05,0.01223,0.0,-1.0,0.00049,20.0,16.0
16910,6.0,-5.0,-499.873,0.1477,0.0001766,7.776e-05,0.01223,0.0,-1.0,0.00049,20.0,16.1
17015,6.0,-5.0,-499.825,0.1477,0.0001766,7.776e-05,0.01224,0.0,-1.0,0.00049,20.0,16.2
17120,6.0,-5.0,-499.775,0.1477,0.0001766,7.777e-05,0.01224,0.0,-1.0,0.000491,20.0,16.3
17225,6.0,-5.0,-499.724,0.1477,0.0001767,7.778e-05,0.01225,0.0,-1.0,0.000491,20.0,16.400000000000002
17330,6.0,-5.0,-499.671,0.1477,0.0001767,7.779e-05,0.01226,0.0,-1.0,0.000491,20.0,16.5
17435,6.0,-5.0,-499.617,0.1477,0.0001768,7.78e-05,0.01226,0.0,-1.0,0.000491,20.0,16.6
17540,6.0,-5.0,-499.562,0.1477,0.0001768,7.781e-05,0.01227,0.0,-1.0,0.000491,20.0,16.7
17645,6.0,-5.0,-499.506,0.1477,0.0001769,7.783e-05,0.01227,0.0,-1.0,0.000492,20.0,16.8
17750,6.0,-5.0,-499.449,0.1477,0.0001769,7.784e-05,0.01228,0.0,-1.0,0.000492,20.0,16.900000000000002
17855,6.0,-5.0,-499.391,0.1477,0.000177,7.785e-05,0.01228,0.0,-1.0,0.000492,20.0,17.0
17960,6.0,-5.0,-499.332,0.1477,0.000177,7.786e-05,0.01229,0.0,-1.0,0.000492,20.0,17.1
18065,6.0,-5.0,-499.272,0.1477,0.0001771,7.787e-05,0.01229,0.0,-1.0,0.000493,20.0,17.2
