,node,depth,head,theta,K,C,flux,sink,kappa,v/KsTop,temp,time
21225,16.0,-15.0,-91.496,0.1268,0.007301,0.0005949,0.008669,0.0,-1.0,8.17e-05,20.0,20.200000000000003
21330,16.0,-15.0,-91.621,0.1267,0.007245,0.0005931,0.008644,0.0,-1.0,8.15e-05,20.0,20.3
21435,16.0,-15.0,-91.746,0.1266,0.007189,0.0005914,0.008619,0.0,-1.0,8.12e-05,20.0,20.400000000000002
21540,16.0,-15.0,-91.87,0.1266,0.007133,0.0005896,0.008593,0.0,-1.0,8.1e-05,20.0,20.5
21645,16.0,-15.0,-91.993,0.1265,0.007077,0.0005878,0.008566,0.0,-1.0,8.07e-05,20.0,20.6
21750,16.0,-15.0,-92.116,0.1264,0.007022,0.0005861,0.008538,0.0,-1.0,8.05e-05,20.0,20.700000000000003
21855,16.0,-15.0,-92.238,0.1263,0.006967,0.0005844,0.00851,0.0,-1.0,8.02e-05,20.0,20.8
21960,16.0,-15.0,-92.36,0.1262,0.006913,0.0005826,0.008481,0.0,-1.0,7.99e-05,20.0,20.900000000000002
22065,16.0,-15.0,-92.481,0.1261,0.006858,0.0005809,0.008453,0.0,-1.0,7.97e-05,20.0,21.0
22170,16.0,-15.0,-92.601,0.1261,0.006804,0.0005792,0.008423,0.0,-1.0,7.94e-05,20.0,21.1
22275,16.0,-15.0,-92.721,0.126,0.00675,0.0005775,0.008394,0.0,-1.0,7.91e-05,20.0,21.200000000000003
22380,16.0,-15.0,-92.84,0.1259,0.006697,0.0005758,0.008364,0.0,-1.0,7.88e-05,20.0,21.3
22485,16.0,-15.0,-92.958,0.1258,0.006644,0.0005741,0.008334,0.0,-1.0,7.86e-05,20.0,21.400000000000002
22590,16.0,-15.0,-93.081,0.1257,0.006589,0.0005724,0.008343,0.0,-1.0,7.86e-05,20.0,21.5
22695,16.0,-15.0,-93.21,0.1257,0.006531,0.0005706,0.008371,0.0,-1.0,7.89e-05,20.0,21.6
22800,16.0,-15.0,-93.337,0.1256,0.006473,0.0005687,0.008369,0.0,-1.0,7.89e-05,20.0,21.700000000000003
22905,16.0,-15.0,-93.464,0.1255,0.006416,0.0005669,0.008359,0.0,-1.0,7.88e-05,20.0,21.8
23010,16.0,-15.0,-93.589,0.1254,0.00636,0.0005651,0.008342,0.0,-1.0,7.86e-05,20.0,21.900000000000002
23115,16.0,-15.0,-93.714,0.1253,0.006304,0.0005634,0.008323,0.0,-1.0,7.84e-05,20.0,22.0
23220,16.0,-15.0,-93.837,0.1252,0.006248,0.0005616,0.008301,0.0,-1.0,7.82e-05,20.0,22.1
