 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   2. 1.2023    Time:  10:36:27
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  86   -85.0000     -66.226 0.2779   0.1254E+00  0.1356E-02  0.1264E-01  0.0000E+00      -1   0.506E-03   20.00
  87   -86.0000     -65.136 0.2794   0.1308E+00  0.1380E-02  0.1019E-01  0.0000E+00      -1   0.408E-03   20.00
  88   -87.0000     -64.069 0.2808   0.1360E+00  0.1404E-02  0.7353E-02  0.0000E+00      -1   0.295E-03   20.00
  89   -88.0000     -63.027 0.2821   0.1411E+00  0.1427E-02  0.4008E-02  0.0000E+00      -1   0.161E-03   20.00
  90   -89.0000     -62.012 0.2835   0.1460E+00  0.1449E-02 -0.3698E-04  0.0000E+00      -1  -0.148E-05   20.00
  91   -90.0000     -61.027 0.2848   0.1508E+00  0.1471E-02 -0.5043E-02  0.0000E+00      -1  -0.202E-03   20.00
  92   -91.0000     -60.078 0.2860   0.1555E+00  0.1492E-02 -0.1137E-01  0.0000E+00      -1  -0.455E-03   20.00
  93   -92.0000     -59.171 0.2875   0.1648E+00  0.1519E-02 -0.2042E-01  0.0000E+00      -1  -0.818E-03   20.00
  94   -93.0000     -58.324 0.2889   0.1743E+00  0.1545E-02 -0.3281E-01  0.0000E+00      -1  -0.131E-02   20.00
  95   -94.0000     -57.547 0.2902   0.1830E+00  0.1570E-02 -0.4819E-01  0.0000E+00      -1  -0.193E-02   20.00
  96   -95.0000     -56.850 0.2914   0.1908E+00  0.1592E-02 -0.6704E-01  0.0000E+00      -1  -0.269E-02   20.00
  97   -96.0000     -56.248 0.2924   0.1975E+00  0.1610E-02 -0.8961E-01  0.0000E+00      -1  -0.359E-02   20.00
